"Sr. No.","Date","Day","Description"
"1","February 21, 2020","Friday","Mahashivratri"
"2","March 10, 2020","Tuesday","Holi"
"3","April 02,2020","Thursday","Ram Navami"
"4","April 06,2020","Monday","Mahavir Jayanti"
"5","April 10, 2020","Friday","Good Friday"
"6","April 14,2020","Tuesday","Dr.Baba Saheb Ambedkar Jayanti"
"7","May 01,2020","Friday","Maharashtra Day"
"8","May 25, 2020","Monday","Id-Ul-Fitr (Ramzan ID)"
"9","October 02, 2020","Friday","Mahatma Gandhi Jayanti"
"10","November 16, 2020","Monday","Diwali-Balipratipada"
"11","November 30, 2020","Monday","Gurunanak Jayanti"
"12","December 25, 2020","Friday","Christmas"
